,Index,Tweet,Hindi,English,Other
1152,1153,mai/EN #rahulgandhi/OTHER k/EN fan/EN ko/EN kya/EN hi/EN jabab/HI du/EN sabd/HI nhi/HI hai/EN mere/EN pass/EN bhagwan/HI aap/EN ko/EN bhi/HI sadbuddhi/HI de/EN ,"[('nhi', 'UNK'), ('bhagwan', 'VM'), ('sadbuddhi', 'SYM')]","[('mai', 'NN'), ('k', 'NN'), ('ko', 'NNP'), ('hi', 'NN'), ('du', 'NN'), ('mere', 'JJ'), ('ko', 'NN')]",
1153,1154,jiss/EN tarah/EN se/EN ke/EN members/EN india/EN mein/EN shamil/HI ho/EN rahe/HI hain/EN iss/EN tarah/EN se/EN #bjp/OTHER mein/EN #rahulgandhi/OTHER ko/EN pm/EN bana/EN sakte/HI hain/EN ,"[('sakte', 'INJ')]","[('jiss', 'JJ'), ('se', 'NN'), ('members', 'NNS'), ('mein', 'VBP'), ('ho', 'JJ'), ('hain', 'NN'), ('tarah', 'NN'), ('pm', 'NN')]",#bjp #rahulgandhi
1154,1155,hum/EN log/EN roje/EN post/EN kertey/EN hai/EN lakin/HI aap/EN us/EN per/EN koi/EN notice/EN nahi/HI late/EN hai/EN congress/EN party/EN imli/HI ki/EN patte/HI per/EN so/EN rahi/HI hai/EN pic/EN twitter/EN com/EN euvlqz/EN rlu/HI #narendramodi/OTHER #rahulgandhi/OTHER pic/EN twitter/EN com/EN adqe/HI ooig/EN ,"[('lakin', 'UNK'), ('nahi', 'VM'), ('rahi', 'VAUX'), ('rlu', 'VAUX'), ('adqe', 'SYM')]","[('hum', 'NN'), ('roje', 'NN'), ('kertey', 'VBD'), ('us', 'PRP'), ('koi', 'VB'), ('hai', 'JJ'), ('party', 'NN'), ('ki', 'NN'), ('per', 'IN'), ('pic', 'NN'), ('com', 'NN'), ('twitter', 'NN')]",#rahulgandhi
1155,1156,#rahulgandhi/OTHER has/EN started/EN his/EN preparation/EN for/EN and/EN slogan/EN is/EN tufaan/HI ke/EN baad/HI boonda/HI bandi/HI abki/HI baar/HI rahul/HI gandhi/EN p/EN #election/OTHER ,"[('boonda', 'UNK'), ('abki', 'VM'), ('rahul', 'SYM')]","[('started', 'VBN'), ('preparation', 'NN'), ('and', 'CC'), ('is', 'VBZ'), ('ke', 'VBN'), ('p', 'NN')]",#rahulgandhi
1156,1157,jo/EN log/EN khud/EN kuch/EN bi/EN nai/EN hai/EN life/EN me/EN wo/EN log/EN #rahulgandhi/OTHER ke/EN post/EN par/EN abusive/EN comment/EN karte/HI hai/EN ,"[('', 'INJ')]","[('jo', 'NN'), ('khud', 'NN'), ('bi', 'NN'), ('hai', 'NN'), ('me', 'PRP'), ('log', 'VBZ'), ('ke', 'JJ'), ('par', 'JJ'), ('comment', 'NN'), ('hai', 'NN')]",
1157,1158,#rahulgandhi/OTHER cong/EN ki/EN govt/EN ne/EN to/EN se/EN aajtak/HI koi/EN ek/EN bhi/HI faisla/HI kisanon/HI ya/EN garibon/HI aam/HI janta/HI ki/EN bhalayi/HI ke/EN liye/HI nahi/HI liya/HI cong/EN is/EN robber/EN ,"[('bhi', 'QFC'), ('kisanon', 'QF'), ('garibon', 'NN'), ('janta', 'PSP'), ('bhalayi', 'NN'), ('liye', 'VM'), ('liya', 'PSP')]","[('ki', 'NN'), ('ne', 'FW'), ('se', 'NN'), ('koi', 'NN'), ('is', 'VBZ')]",#rahulgandhi
1158,1159,ab/EN chacha/HI jaan/HI ji/EN ne/EN aisi/HI baat/HI krke/EN comedy/EN ke/EN superstar/EN #rahulgandhi/OTHER ka/EN beijjati/HI kr/EN diya/HI ,"[('jaan', 'RBC'), ('baat', 'SYM')]","[('ab', 'JJ'), ('ne', 'JJ'), ('comedy', 'NN'), ('superstar', 'NN'), ('ka', 'NN'), ('kr', 'NN')]",
1159,1160,arre/HI vai/HI asli/HI lootera/HI #rahulgandhi/OTHER to/EN europe/EN vaag/HI gaya/HI sara/EN kaladhan/HI swiss/EN bank/EN pe/EN rakh/HI k/EN aayega/HI ye/EN #looteramodi/OTHER trnd/EN kar/HI k/EN kya/EN hoga/HI ,"[('arre', 'UNK'), ('asli', 'VM'), ('gaya', 'VAUX'), ('kaladhan', 'VAUX'), ('rakh', 'VAUX'), ('aayega', 'VAUX'), ('kar', 'SYM')]","[('europe', 'NN'), ('bank', 'NN'), ('kya', 'NN')]",#rahulgandhi #looteramodi
1160,1161,hopes/EN year/EN #modi/OTHER #kejriwal/OTHER #rahulgandhi/OTHER #samajwandidangal/OTHER and/EN #arunachalpradeshgovt/OTHER ke/EN roj/HI ke/EN nautanki/HI se/EN desh/HI ko/EN bachaye/HI ,"[('', 'INJ')]","[('hopes', 'NNS'), ('and', 'CC'), ('ke', 'VB'), ('ke', 'FW'), ('se', 'FW'), ('ko', 'NN')]",#modi #rahulgandhi
1161,1162,#amitshah/OTHER bhi/HI #rahulgandhi/OTHER ke/HI raaste/HI par/EN chal/HI nikale/HI hai/EN jahan/HI jao/HI wahan/HI ki/EN logon/EN se/EN milo/EN unke/HI ghar/HI jaa/HI kar/HI lunch/EN karo/EN full/EN drama/EN ,"[('raaste', 'NN'), ('chal', 'PSP'), ('jao', 'NN'), ('unke', 'PSP'), ('jaa', 'VM')]","[('hai', 'NN'), ('ki', 'NN'), ('se', 'NN'), ('lunch', 'NN'), ('full', 'JJ')]",#amitshah #rahulgandhi
1162,1163,apne/HI #rahulgandhi/OTHER ko/EN bar/EN bar/EN na/EN launch/EN kro/HI koi/EN naya/HI chehra/HI lao/EN jo/EN congress/EN jaise/HI purani/HI party/EN ko/EN bacha/HI sake/EN ,"[('apne', 'QO'), ('chehra', 'NN'), ('jaise', 'PSP'), ('bacha', 'VM')]","[('ko', 'NN'), ('bar', 'NN'), ('launch', 'NN'), ('koi', 'NNP'), ('jo', 'NNP'), ('party', 'NN')]",
1163,1164,kuchh/HI pata/HI hota/HI nahi/HI aa/EN jaate/HI hain/EN logon/EN ko/EN gyaan/HI dene/HI oops/EN #rahulgandhi/OTHER efect/EN ,"[('kuchh', 'INTF'), ('hota', 'JJ'), ('dene', 'VM')]","[('aa', 'NN'), ('hain', 'NN'), ('ko', 'NN')]",#rahulgandhi
1164,1165,padha/HI tha/HI #rahulgandhi/OTHER ne/EN jab/EN jupiter/EN ki/EN velocity/EN ko/EN accelerate/EN kiya/HI tha/EN barkhaji/HI class/EN me/EN paheli/HI thi/EN ,"[('padha', 'UNK'), ('kiya', 'VM'), ('barkhaji', 'SYM')]","[('jab', 'NN'), ('ki', 'NN'), ('ko', 'VB'), ('me', 'PRP'), ('thi', 'VB')]",#rahulgandhi
1165,1166,haan/EN bhai/HI ise/EN suit/EN ka/EN pocket/EN bhi/HI phata/HI hoga/HI bahute/HI garib/HI hain/EN rahul/HI baba/EN #rahulgandhi/OTHER ,"[('bhi', 'UNK'), ('hoga', 'VM'), ('garib', 'VAUX'), ('rahul', 'SYM')]","[('haan', 'NN'), ('ise', 'NN'), ('ka', 'NN')]",#rahulgandhi
1166,1167,#sunilgrover/OTHER aur/HI #kapilsharma/OTHER ladte/HI reh/HI jaenge/HI aur/EN best/EN comedian/EN kaa/HI award/EN #rahulgandhi/OTHER le/EN jaega/HI ,"[('reh', 'INJ')]","[('aur', 'JJ'), ('comedian', 'JJ'), ('award', 'NN'), ('le', 'NN')]",#sunilgrover #kapilsharma
1167,1168,#rahulgandhi/OTHER pakistan/EN ki/EN jeet/EN se/EN zyada/HI tum/HI logon/EN ki/EN haar/HI aur/EN rota/HI hua/EN muh/HI dekhne/HI mae/EN mazaa/HI aaraha/HI hai/EN poor/EN fans/EN ,"[('tum', 'UNK'), ('dekhne', 'VM'), ('mazaa', 'SYM')]","[('ki', 'NN'), ('se', 'NN'), ('ki', 'NN'), ('aur', 'NN'), ('hua', 'NN'), ('hai', 'NN'), ('fans', 'NNS')]",#rahulgandhi
1168,1169,so/EN #pappu/OTHER aka/EN #rahulgandhi/OTHER aka/EN of/EN goes/EN for/EN another/EN vacations/EN kaam/HI to/EN kuch/HI karta/HI nahin/HI phir/HI kahan/EN aur/EN kyon/HI jaata/HI hai/EN ,"[('kaam', 'UNK'), ('kuch', 'VM'), ('nahin', 'VAUX'), ('kyon', 'SYM')]","[('so', 'RB'), ('aka', 'JJ'), ('aka', 'NN'), ('goes', 'VBZ'), ('another', 'DT'), ('kahan', 'NN'), ('hai', 'NN')]",
1169,1170,open/EN challenge/EN to/EN you/EN bail/EN par/EN to/EN #soniagandhi/OTHER #rahulgandhi/OTHER bhi/HI bahar/HI hai/EN lekin/HI kya/EN tum/HI me/EN himmat/EN hai/EN unhe/HI culprit/EN kahne/EN ki/EN #bsp/OTHER #rahulgandhi/OTHER in/EN ,"[('bahar', 'UNK'), ('lekin', 'VM'), ('tum', 'VAUX'), ('unhe', 'SYM')]","[('open', 'JJ'), ('to', 'TO'), ('bail', 'VB'), ('to', 'TO'), ('himmat', 'VB'), ('kahne', 'NN'), ('in', 'IN')]",#rahulgandhi #bsp
1170,1171,asli/HI kanjoos/HI toh/HI wo/EN hote/EN hai/EN jo/EN #jio/OTHER k/EN time/EN mein/EN bhi/HI call/EN karne/HI ko/EN kehte/HI hai/EN ,"[('asli', 'RBC'), ('toh', 'SYM')]","[('hote', 'NN'), ('jo', 'NN'), ('k', 'NN'), ('mein', 'NNP'), ('call', 'NN'), ('ko', 'NN'), ('hai', 'NN')]",
1171,1172,#/OTHER g/EN speed/EN to/EN dekho/HI vodafone/EN buddhafone/HI customer/EN se/EN paise/HI lete/HI hai/EN service/EN nahi/HI dete/HI thanks/EN to/EN #jio/OTHER inki/HI to/EN dukan/HI band/EN kar/HI dega/HI jio/HI dekhte/HI raho/HI pic/EN twitter/EN com/EN bzxdvooco/EN ,"[('dekho', 'INTF'), ('buddhafone', 'JJ'), ('lete', 'VM'), ('dete', 'VAUX'), ('inki', 'VAUX'), ('dukan', 'VAUX'), ('kar', 'SYM'), ('jio', 'NNP'), ('raho', 'NNP')]","[('speed', 'NN'), ('se', 'NN'), ('service', 'NN'), ('to', 'TO'), ('twitter', 'VB'), ('bzxdvooco', 'NN')]",#
1172,1173,sab/EN tweet/EN pe/EN tweet/EN kiye/HI ja/EN rahe/HI ho/EN kisi/HI ko/EN ye/EN fikar/HI hai/EN ki/EN #jio/OTHER ka/EN net/EN band/EN hone/EN wala/HI hai/EN kuch/HI din/EN me/EN ,"[('kiye', 'VM'), ('rahe', 'VAUX'), ('kisi', 'VAUX')]","[('sab', 'NN'), ('pe', 'NN'), ('ye', 'JJ'), ('hai', 'JJ'), ('net', 'JJ'), ('hone', 'NN'), ('hai', 'NN'), ('din', 'NN')]",#jio
1173,1174,they/EN don/EN t/EN worry/EN about/EN #aadharcard/OTHER abhi/HI #jio/OTHER naya/HI scheme/EN nikalega/HI toh/HI sab/HI ke/EN sab/HI khade/HI ho/EN jayege/HI aadhar/HI ke/EN sath/HI ,"[('abhi', 'UNK'), ('naya', 'VM'), ('nikalega', 'VAUX'), ('sab', 'VAUX'), ('sab', 'VAUX'), ('aadhar', 'VAUX'), ('sath', 'SYM')]","[('they', 'PRP'), ('t', 'VBP'), ('about', 'IN'), ('ho', 'NN')]",
1174,1175,jio/EN ke/EN calls/EN aur/EN dhoni/HI ki/EN bat/EN jaldi/HI connect/EN nahi/HI hote/HI aur/EN jab/EN hote/HI hai/EN le/EN dhana/HI dhan/HI ,"[('dhoni', 'SYM'), ('hote', 'RDP'), ('dhana', 'NN')]","[('jio', 'NN'), ('calls', 'VBZ'), ('bat', 'NN'), ('connect', 'NN'), ('jab', 'NN'), ('hai', 'NN')]",
1175,1176,wish/EN #reliance/OTHER comes/EN with/EN #jiodisel/OTHER and/EN #jiopetrol/OTHER ek/EN baar/HI re/EN fuel/EN kero/HI aur/EN saal/HI bhar/HI muft/HI pao/EN #jio/OTHER ,"[('baar', 'RBC'), ('bhar', 'SYM')]","[('wish', 'JJ'), ('comes', 'VBZ'), ('fuel', 'JJ'), ('aur', 'NN'), ('pao', 'NN')]",#jiodisel #jiopetrol
1176,1177,cheeee/HI tumhare/HI gaanv/HI mein/EN #jio/OTHER ka/EN tower/EN nhi/HI hai/EN rishta/HI cancel/EN ladki/HI wale/HI ,"[('cheeee', 'UNK'), ('gaanv', 'VM'), ('wale', 'SYM')]","[('tower', 'NN'), ('hai', 'NN'), ('cancel', 'NN')]",#jio
1177,1178,maine/EN khud/HI apna/HI no/EN mai/EN port/EN krwaya/HI itni/HI bakwaas/HI service/EN aur/EN paise/HI kaat/EN lete/HI hai/EN har/EN cheez/EN ke/EN esliye/HI bhaiya/HI #jio/OTHER ,"[('apna', 'UNK'), ('krwaya', 'VM'), ('bakwaas', 'VAUX'), ('esliye', 'SYM')]","[('maine', 'NN'), ('mai', 'NN'), ('aur', 'NN'), ('kaat', 'NN'), ('hai', 'NN'), ('cheez', 'NN')]",#jio
1178,1179,yaha/HI #jio/OTHER ko/EN gali/HI dene/HI wale/HI aadhe/HI se/EN zyada/HI #jio/OTHER sim/EN hi/EN use/EN kar/HI rahe/HI honge/HI ,"[('yaha', 'PRP'), ('dene', 'VM'), ('aadhe', 'QF'), ('zyada', 'NN'), ('rahe', 'VM')]","[('ko', 'NN'), ('sim', 'NN'), ('use', 'NN')]",
1179,1180,mr/EN mukesh/EN ab/EN to/EN logo/EN ne/EN paisa/HI dalna/HI v/EN suru/HI kar/HI diya/HI apna/HI #jio/OTHER no/EN me/EN ab/EN to/EN aap/EN network/EN pe/EN dhyan/HI do/EN pls/EN ,"[('paisa', 'UNK'), ('kar', 'VM'), ('apna', 'SYM')]","[('mr', 'NN'), ('ab', 'NN'), ('logo', 'NN'), ('v', 'NN'), ('no', 'DT'), ('ab', 'NN'), ('aap', 'RB'), ('pe', 'VBZ'), ('do', 'VB')]",
1180,1181,aaj/HI tak/HI biwi/HI pe/EN to/EN control/EN nai/EN ho/EN paya/HI #jio/OTHER pe/EN kya/EN ghanta/HI hoga/HI ,"[('aaj', 'UNK'), ('biwi', 'VM'), ('paya', 'VAUX'), ('ghanta', 'SYM')]","[('to', 'TO'), ('nai', 'VB'), ('pe', 'NN')]",
1181,1182,presence/EN #airtel/OTHER see/EN the/EN #netspeed/OTHER and/EN #data/OTHER balance/EN jab/EN speed/EN hi/EN nahi/HI aati/HI hai/EN to/EN kya/EN data/EN use/EN kare/HI #jio/OTHER hai/EN to/EN speed/EN hai/EN pic/EN twitter/EN com/EN jctnihlwzs/EN ,"[('aati', 'UNK'), ('kare', 'VM')]","[('presence', 'NN'), ('see', 'VBP'), ('jab', 'JJ'), ('hi', 'NN'), ('to', 'TO'), ('data', 'VB'), ('hai', 'NNS'), ('speed', 'VB'), ('pic', 'NNS'), ('com', 'VB')]",#netspeed #data
1182,1183,#jio/OTHER ka/EN internet/EN to/EN aise/EN chalta/HI hai/EN jaise/HI kuttiya/HI mar/EN gayi/HI hai/EN ,"[('kuttiya', 'RBC'), ('gayi', 'SYM')]","[('internet', 'NN'), ('aise', 'NN'), ('hai', 'NN')]",#jio
1183,1184,sharam/HI nahi/HI aati/HI #iphone/OTHER use/EN kar/HI rahe/HI ho/EN aur/EN upar/HI se/EN usme/HI #jio/OTHER ka/EN sim/EN laga/HI rakha/HI hai/EN ,"[('sharam', 'UNK'), ('aati', 'VM'), ('rahe', 'VAUX'), ('rakha', 'VM')]","[('use', 'NN'), ('aur', 'NN'), ('se', 'NN'), ('sim', 'NN')]",#jio
1184,1185,jo/EN mobile/EN nahi/HI chala/HI sake/EN ab/EN wo/EN bharat/HI desh/HI ke/EN rocket/EN chalayenge/HI ,"[('nahi', 'RBC'), ('desh', 'SYM')]","[('jo', 'NNS'), ('sake', 'VBP'), ('wo', 'MD'), ('rocket', 'VB')]",
1185,1186,desh/EN ke/EN public/EN ko/EN neta/EN aur/EN telephone/EN company/EN dono/HI oloo/EN banate/HI hai/EN jaise/HI neta/HI koi/EN bhi/HI ho/EN mahngai/HI kam/HI nahi/HI hogi/HI aur/EN sim/EN koi/EN bhi/HI ho/EN g/EN ya/EN g/EN speed/EN g/EN jaisa/HI hi/EN hoga/HI bas/EN naam/HI ke/EN hai/EN yh/EN #rahulgandhi/OTHER #airtel/OTHER #vodafone/OTHER #bsnl/OTHER #jio/OTHER ,"[('dono', 'UNK'), ('banate', 'VM'), ('jaise', 'PSP'), ('kam', 'VM'), ('hogi', 'VAUX'), ('bhi', 'SYM')]","[('desh', 'JJ'), ('public', 'JJ'), ('neta', 'NN'), ('telephone', 'NN'), ('koi', 'VBD'), ('ho', 'JJ'), ('sim', 'NN'), ('g', 'NN'), ('g', 'NN'), ('g', 'NN'), ('hi', 'NN'), ('bas', 'NN'), ('ke', 'NN'), ('yh', 'NN')]",#airtel #bsnl
1186,1187,netvelocity/EN test/EN result/EN #jio/OTHER tum/EN itne/HI garib/HI kyu/HI hote/HI ja/EN rahe/HI ho/EN ye/EN samjh/HI lo/EN garib/HI ko/EN sab/HI chod/HI dete/HI hain/EN ,"[('garib', 'UNK'), ('hote', 'VM'), ('rahe', 'VAUX'), ('chod', 'VAUX')]","[('netvelocity', 'NN'), ('result', 'NN'), ('tum', 'NN'), ('ye', 'NN'), ('lo', 'NN'), ('ko', 'NN'), ('hain', 'NN')]",
1187,1188,jio/EN ke/EN launch/EN se/EN pehle/HI tak/HI sabhi/HI mobile/EN companies/EN manmaane/HI rate/EN par/EN internet/EN data/EN plan/EN bechte/HI the/EN aur/EN ab/EN wo/EN rates/EN kayi/HI guna/EN kam/HI ho/EN gaye/EN hain/EN iss/EN chori/HI loot/EN par/EN koi/EN kuchch/HI kyon/HI nahi/HI bolta/HI ,"[('pehle', 'UNK'), ('sabhi', 'VM'), ('chori', 'VAUX'), ('kuchch', 'VAUX'), ('nahi', 'SYM')]","[('jio', 'NN'), ('launch', 'NN'), ('companies', 'NNS'), ('rate', 'NN'), ('internet', 'NN'), ('plan', 'NN'), ('the', 'DT'), ('ab', 'JJ'), ('rates', 'NNS'), ('guna', 'VBP'), ('ho', 'JJ'), ('hain', 'NN'), ('par', 'NN')]",
1188,1189,par/EN baat/EN ye/EN hai/EN ki/EN log/EN #jio/OTHER ka/EN free/EN services/EN use/EN karte/HI hai/EN to/EN jio/HI ka/EN boycott/EN karne/HI ki/EN himmat/EN nahi/HI joota/HI sakte/HI ,"[('jio', 'NNP'), ('nahi', 'NNP'), ('sakte', 'SYM')]","[('par', 'NN'), ('ye', 'NN'), ('ki', 'VBD'), ('free', 'JJ'), ('use', 'NN'), ('hai', 'NN'), ('boycott', 'NN'), ('ki', 'NN')]",#jio
1189,1190,saalo/HI saal/HI bhar/HI se/EN free/EN internet/EN de/EN raha/HI hu/EN kisi/HI ko/EN apna/HI #jio/OTHER ka/EN number/EN bhi/HI yaad/HI nahi/HI kuchh/HI toh/HI sharam/HI karo/EN ,"[('saalo', 'UNK'), ('bhar', 'VM'), ('yaad', 'VAUX'), ('kuchh', 'VAUX'), ('sharam', 'SYM')]","[('free', 'JJ'), ('de', 'FW'), ('hu', 'FW'), ('ko', 'FW'), ('number', 'NN')]",#jio
1190,1191,ajkal/HI agar/EN koi/EN ye/EN bolde/HI ke/EN me/EN #jio/OTHER use/EN nahi/HI karta/HI to/EN log/EN use/EN ese/EN dekte/HI hai/EN jese/EN vo/EN dusre/HI planet/EN se/EN ho/EN ,"[('ajkal', 'UNK'), ('bolde', 'VM'), ('karta', 'SYM')]","[('koi', 'VB'), ('me', 'PRP'), ('use', 'VB'), ('log', 'JJ'), ('ese', 'JJ'), ('hai', 'NN'), ('vo', 'NN'), ('planet', 'NN'), ('ho', 'NN')]",
1191,1192,#jio/OTHER south/EN #kashmir/OTHER me/EN aise/EN chal/HI raha/HI hae/EN jaise/HI dulhan/HI shadi/HI me/EN lehangay/HI k/EN saath/HI may/EN #allah/OTHER grant/EN us/EN patience/EN deal/EN wid/EN ds/EN speed/EN ,"[('raha', 'VM'), ('jaise', 'PSP'), ('shadi', 'VM'), ('lehangay', 'VAUX'), ('saath', 'SYM')]","[('aise', 'VB'), ('us', 'PRP'), ('deal', 'VB'), ('ds', 'NN')]",#jio #kashmir #allah
1192,1193,sir/EN aap/EN toh/EN #jio/OTHER ka/EN prachar/HI kar/HI rahe/HI hai/EN kya/EN setting/EN hai/EN ambani/HI see/EN ,"[('kar', 'RBC'), ('ambani', 'SYM')]","[('sir', 'NN'), ('toh', 'NN'), ('ka', 'NN'), ('hai', 'NN'), ('setting', 'VBG')]",
1193,1194,chaahe/HI aap/EN kitni/HI bhi/HI ki/HI burai/HI kar/HI lo/EN chalaoge/HI #jio/OTHER hi/EN dekho/HI screen/EN k/EN neeche/HI ,"[('chaahe', 'RB'), ('kitni', 'VM'), ('ki', 'CC'), ('kar', 'NN'), ('chalaoge', 'PSP'), ('neeche', 'NST')]","[('hi', 'NN'), ('screen', 'NN')]",
1194,1195,thik/EN hai/EN #jio/OTHER free/EN hai/EN to/EN kya/EN iska/HI mtlb/EN hai/EN kuch/HI bhi/HI forward/EN kro/HI faltu/HI ka/EN ,"[('kuch', 'RBC'), ('faltu', 'SYM')]","[('thik', 'NN'), ('hai', 'NN'), ('kya', 'NN'), ('mtlb', 'FW'), ('forward', 'NN')]",#jio
1195,1196,abhi/HI to/EN suruaat/EN hai/EN aage/HI aage/HI dekho/HI hota/HI hai/EN kya/EN kyonki/HI ab/EN to/EN aage/HI damdaar/HI competitor/EN hai/EN #jio/OTHER ,"[('abhi', 'QO'), ('aage', 'NST'), ('dekho', 'VM'), ('kyonki', 'VAUX'), ('damdaar', 'SYM')]","[('suruaat', 'NN'), ('hai', 'NN'), ('to', 'TO'), ('hai', 'VB')]",
1196,1197,current/EN week/EN me/EN to/EN g/EN speed/EN pe/EN aagya/HI #jio/OTHER ka/EN internet/EN office/EN ke/EN kam/HI ke/EN liye/HI bhi/HI use/EN kiya/HI isliye/HI ,"[('bhi', 'RBC'), ('kiya', 'SYM')]","[('current', 'JJ'), ('me', 'PRP'), ('g', 'JJ'), ('pe', 'JJ'), ('internet', 'NN'), ('ke', 'NN'), ('ke', 'NN')]",#jio
1197,1198,walo/HI ne/EN ase/EN kon/EN se/EN question/EN diye/HI the/EN jo/EN average/EN tak/HI bhi/HI na/EN pahuch/HI paya/HI blame/EN it/EN to/EN #jio/OTHER ,"[('walo', 'UNK'), ('diye', 'VM'), ('tak', 'VAUX'), ('paya', 'SYM')]","[('ase', 'NN'), ('se', 'NN'), ('jo', 'NN'), ('na', 'IN'), ('it', 'PRP')]",#jio
1198,1199,#jio/OTHER walo/HI ko/EN kabhi/HI crush/EN naa/HI banao/HI reply/EN me/EN liye/HI min/EN wait/EN karne/HI me/EN jaan/HI nikal/HI jati/HI hai/EN ki/EN reply/EN kyo/HI nahi/HI ki/EN #gyaan/OTHER ,"[('banao', 'UNK'), ('karne', 'VM'), ('jaan', 'VAUX'), ('jati', 'VAUX'), ('kyo', 'SYM')]","[('ko', 'NN'), ('crush', 'NN'), ('me', 'PRP'), ('min', 'VBZ'), ('ki', 'NNS'), ('ki', 'VB')]",#jio
1199,1200,jio/EN ka/EN performance/EN bhut/HI badhiya/HI raha/HI bihar/EN me/EN students/EN ne/EN prove/EN kr/EN diya/HI ,"[('badhiya', 'RBC'), ('diya', 'SYM')]","[('jio', 'NN'), ('performance', 'NN'), ('bihar', 'NN'), ('students', 'NNS'), ('prove', 'VBP')]",
1200,1201,#jio/OTHER ko/EN gali/HI dene/HI wale/HI aadhe/HI se/EN zyada/HI #jio/OTHER use/EN kar/HI rahe/HI honge/HI ,"[('gali', 'UNK'), ('wale', 'VM'), ('kar', 'VAUX'), ('honge', 'SYM')]","[('se', 'NN')]",#jio #jio
1201,1202,dear/EN th/EN walo/EN ab/EN waqt/EN aa/EN gya/HI hai/EN ki/EN #jio/OTHER aur/EN #/OTHER ambani/HI ji/EN ko/EN galli/HI dena/EN start/EN kr/EN do/EN ,"[('gya', 'RBC'), ('ambani', 'SYM')]","[('dear', 'JJ'), ('walo', 'NN'), ('waqt', 'NN'), ('ki', 'NN'), ('aur', 'NN'), ('ko', 'FW'), ('dena', 'NN'), ('kr', 'NN')]",
1202,1203,waiting/EN for/EN dat/EN #jio/OTHER #meme/OTHER sab/HI ko/EN month/EN data/EN free/EN wala/HI chutiyapa/HI leke/HI aate/HI hi/EN honge/HI kuch/HI log/EN #rpsvmi/OTHER mivkkr/HI ,"[('wala', 'UNK'), ('leke', 'VM'), ('kuch', 'SYM')]","[('waiting', 'VBG'), ('dat', 'NN'), ('ko', 'NN'), ('data', 'NNS'), ('hi', 'NN')]",#meme #rpsvmi
1203,1204,dil/HI krta/HI h/EN sim/EN ke/EN sath/HI mobile/EN b/EN tod/EN kr/EN phenk/HI du/EN issey/EN acha/HI to/EN #tata/OTHER #indicom/OTHER ka/EN #/OTHER g/EN bhi/HI fast/EN hai/EN ,"[('dil', 'UNK'), ('phenk', 'VM'), ('bhi', 'SYM')]","[('h', 'NN'), ('ke', 'NN'), ('mobile', 'JJ'), ('tod', 'NN'), ('issey', 'NN'), ('to', 'TO'), ('hai', 'VB')]",#indicom #
1204,1205,hamare/HI desh/HI k/EN bacche/HI bado/HI se/EN kam/HI hai/EN ki/EN #jio/OTHER india/EN be/EN champion/EN boys/EN ,"[('hamare', 'UNK'), ('bado', 'VM'), ('kam', 'SYM')]","[('k', 'NN'), ('ki', 'NNS'), ('india', 'VBP'), ('champion', 'NN')]",
1205,1206,aaj/OTHER #bb/OTHER live/EN aaye/HI but/EN mai/EN insta/HI mai/EN dekh/HI hi/EN nhi/HI pyi/HI for/EN network/EN issue/EN ye/EN #jio/OTHER ne/EN mujhe/HI dokha/HI de/EN diye/HI bam/EN haad/HI ho/EN gyi/HI #bancho/OTHER ,"[('insta', 'UNK'), ('dekh', 'VM'), ('nhi', 'CC'), ('mujhe', 'PRP')]","[('live', 'JJ'), ('but', 'CC'), ('for', 'IN'), ('issue', 'NN'), ('de', 'FW'), ('bam', 'FW'), ('ho', 'NN')]",aaj #jio #bancho
1206,1207,#/OTHER saalbemisal/HI apna/HI toh/HI ek/HI hi/EN saal/HI bemisal/HI tha/EN bhaiya/HI thanks/EN to/EN #jio/OTHER ,"[('apna', 'UNK'), ('ek', 'VM'), ('saal', 'SYM')]","[('tha', 'NN'), ('thanks', 'NNS')]",# #jio
1207,1208,oh/EN god/EN #jio/OTHER itne/EN bade/EN stars/EN ko/EN le/EN ke/EN kya/EN ghatiya/HI ads/EN bana/EN rahe/HI ho/EN aap/EN #bilkulpasandnahiaya/OTHER ,"[('ghatiya', 'INJ')]","[('oh', 'UH'), ('bade', 'NN'), ('ko', 'NN'), ('ke', 'NN'), ('bana', 'NN'), ('ho', 'NN')]",#jio #bilkulpasandnahiaya
1208,1209,jo/EN sala/EN k/EN ka/EN phone/EN kharidne/HI ki/EN aukat/HI rakhta/HI hai/EN usko/HI tum/HI #jio/OTHER ke/EN free/EN net/EN ka/EN lalach/HI de/EN rhe/HI ,"[('rakhta', 'RBC'), ('usko', 'SYM')]","[('jo', 'NN'), ('k', 'NN'), ('phone', 'NN'), ('ki', 'VBD'), ('free', 'JJ'), ('ka', 'NN'), ('de', 'IN')]",#jio
1209,1210,#jio/OTHER ane/EN se/EN youtuber/EN ki/EN life/EN hi/EN change/EN ho/EN gayi/HI aur/EN suscriber/EN bhi/HI badh/HI gaye/EN ,"[('bhi', 'INJ')]","[('se', 'NN'), ('ki', 'NN'), ('hi', 'NN'), ('ho', 'NN'), ('aur', 'NN'), ('gaye', 'NN')]",#jio
