,0
977,978 ganesh ji aapko kuchh bhi banne ki zaroorat nahi aapko jnu mein ya ftii mein direct entry hai wahan aap saal tak free mein padho
978,979 bhai aur kuch ho na jo tu to jnu ka treasure hai jab jnu ka museum banega to tera photo jaroor rahega
979,980 have some guts police bulwao aur ek ek student ke pichwade par dande barsao sab theek ho jayega jnu
980,981 kahan gaye jnu wale yeh murder ya violence nahin hindulivesmatter @sagatikaghose @sardesairajdeep nidhi razdan
981,982 inh @ndtv walon ko bas mauka chahiye bechare kya kare jnu se hai kya i see your debates sare ke sare cattles wahi se nikalte h ya unse sara agenda pahle se set hota h fir baad me cigarette daaru aur na jaane kya kya fir next day tv per bhaukna thu
982,983 gholo aur zeher gholo aaj kal jnu me ye hi to sikhate hai aur waise phd kab puri hone wali hai veteran students of jnu
983,984 yeh gamcha wala kis angle student lag raha hai student kaam tihadi mazdoor jada lag raha hai jnu
984,985 kejriwal ne dalit muslim hindu ko alag kar diya jnu ke antinationals ko support kiya and now gujarat n o gujarat aazadi andolan
985,986 shame kyunki koi admission lene main interested nahi hai is pagalkhane jnu main yeh toh hona hi tha jaldi band bhi hoga
986,987 jnu ke bache anti national nare lagate hai aur aapke mahan kejari sunte haii aur kanahiya jaise cheap insaan ke tarif karte hai shame
987,988 bhai mene teri sabhi video dekhi achi hai good work but ek bhi video jnu me jo hua us pe nahi hai
988,989 yeh jnu mein padhai hoti hai ke nahi ke saale sabhi government ke paise ka khaake chutiyapa karte rehte hain pura din @umarkhalidjnu jnu
989,990 ek bat samaj nahi aati sare anti indians jnu se hi kyu paida hote hai kya jnu me yahi sab chal raha hai
990,991 rubbish presstitutes sonunigam ko freedom of speech nahi hai kya fos ka copyright sirf jnu logonke paas hai kya
991,992 so now jnu is producing isis terror from india wow najeeb jis desh ne tumhe sab kuchh dia tum usike tukde karne ki kaam kar rahe ho
992,993 just one thing tripletalaq ho ya rammandir congress and kapilsibal hamesha andho k hi paksh me dalil dete h like jnu rahul gandhi kanahiya k sath tha
993,994 hindustan tere tukde honge jnu was abhivyakti ki azadi @sonunigam ne bhi abhivyakti ki azadi ka fayda uthya nd now u becoming secular y
994,995 where were you when desh virodhi naare lagg rahe the jnu me patthar feke jaa rahe the jawano par
995,996 pichhle do salo se media ka pura dhyan j k pe hi h chahe ho jnu ka ya stone pelting ya hafij ya burhan mamla fir v halat bad se badtar
996,997 jnu ko badnam kr k uska bhi kashmir jaisa haal banane ka sochi ho kulbhushanjadhav k liye ek word nhi bola lekin stonepelter k liye bola
997,998 parody ac ko bhi ginti nahi ati allah bachaye aise jnu wale se
998,999 arrey kya bol rahe ho sir jnu walon ko sab muft aur subsidised rate mein chahiye tabhi toh saal ke buddhe ghoday abhi bhi students hain
999,1000 may b arnab thinking yaar ye pak abhi attack karna thaa kya mera channel aane ke baad karlete saala ab my kispe gussa karu jnu @pun starr
1000,1001 modi ji ne tank nahi puri army hi khadi kardi jnu me ise kahte hai so sunaar ki ek lauhar ki jai ho
1001,1002 ma am aap kis subject se masters or phd kar rahi hain jnu se years ki age me jnu ke haal dekhkar sharm aati hai jnu ke teachers or students par chi jihadi log
1002,1003 inke tweet dekhke man krta hai sala jnu me he admission lena tha yar
1003,1004 sal me bhe student raho or phd krte rho kya karna hai kabhe tukde tukde bolte raho allthebest
1004,1005 ye kon se institute se padi hai ab desh ke states kaha se aa gae
1005,1006 wish jnu is in up than slogans will be bharat mata ki jai vande mataram yogiadityanath
1006,1007 sirji jnu mein phele bhi interfere kiya tha govt ne but aap logo ne galat bandhe ko support kar usse star bana diya
1007,1008 cowards saale ya to protest karte hain ya suicide maa baap ko zindagi bhar ka dukh aur de dete hain jnu
1008,1009 colleges me dharna prdarshan marpeet naarebaazi hi hoti hai ya pdaaai ka bhi koi scope hai aajkal jnu
1009,1010 saalo university padne jaate ho ya rajneeti karne agar rajnneti karni hai toh sinha taan ke karo victim card khel ke nai jnu @swatrisha
1010,1011 deshbhakti n peace ke video dekhne ke chakkar me pta hi nahi chala @itsssr ne kab rajput laga liya karnisena jnu pic twitter com sdvsczhfbs
1011,1012 jnu par lagaye gaye naye poster kashmir ki azadi k liye kya is azadi brigade ki is freedomofspeech ko hame bardast karna chahiye pic twitter com fyaqdbiadx
1012,1013 elections ka result aate hi du ramjas jnu sabhi jagah santi ho gyi bechare
1013,1014 ye terrorist tumne khud jnu me paida kiye hain or unka support karke desh ka ye hal kiya h ab janta jawab degi
1014,1015 yeh jnu ke students ab du ke fest mein bhi jane lage apne campus mein kuch nhi mill raha hain kya
1015,1016 jnu wale anti national hain ye log desh ko girayenge i m like inka canteen me udhaari ha mustwatch
1016,1017 bistar to tu apana bandh public ko ek bar @arvindkejriwal ne bewkoof banaya ab tu nahi bana payega chal bay dramebaaz are social work karo na ki netagiri
1017,1018 jnu me student ek professor par pattharbaji kar sakte hain aur unko nikala bhi nahi gaya student ko laat mar ke nikal dete
1018,1019 mannkibaat acha h sir jo b krte h bus wait kr rha hu din k jab man jnu ki trf jaega desh dirohio ki toli dikhegi
1019,1020 jnu ka picha kab chhodoge bhai hahaha india me sab to ccriminals hi hai jitne bade naam hai sab kon doodh ka dhula hua hai ek ka nam
1020,1021 yeh nalayak to gaye the jnu mai yah har evms se nahi apne anti nationals ko support ki vajah se hai
1021,1022 aaj murga aur daru chalegi jnu me vijay divas hai inke liye to narendramodi ji finish them all kewal surgical strike se kam nhi chalega
1022,1023 abe dallo @sudhirchaudhary @sardanarohit jnu pe to gala phar k reporting karte the ab jara bhu ki bhi karlo unsafebhu
1023,1024 laal chadhdhi jnu ke main gate pe fir se taang di gayee yahan ka student union se saal ke bujurg students ke haath mein fir aaya
1024,1025 for once i agree with @kailashonline statement bharat ke tukde karne walon ki har hui good riddance abvp
1025,1026 lagta hai jnu me ab tank nahi direct nuclearbomb hi plant kiya jaayega
1026,1027 kuch log jnu me addmission le k ese sochte hai ki ab university unke naam hi ho gayi stop all these things jo tu karta hai university me
1027,1028 jnu mein log isliye protest kar rahe hai kyonki unki fat rahi ki kahi isi se na uda de agli baar agar antinational activity ki to
1028,1029 those years student taken seriously the line pahdne ki koi age nahi hote chacha aur chachiji of jnu desh par rahem karoo
1029,1030 jnu campus me tank ke sath sath land mines bhi lagni chahiye jo gaddaro ke pair rakhne pr hi fate jnu
1030,1031 radicalthinking k nam p debate h kr lo aftr dis jnu#du se scholars nikale ya nahi but freedomfighters zaroor nikalenge
1031,1032 basss tum toh desdroh ke aaropiyo ke saath khade the jnu me aur bolte the ki court decide karega ab kya hua doublestandards
1032,1033 delhi university walo ke paas koi kam hai ki nahi pehle jnu ka kanhaiya phir gurmeher this is youth
1033,1034 @javedakhtarjadu bhai tu bada jolllyllb ban ke ghum riya hai jab jnu me anti national slogans gunj rahe the tab kaha the mr literate
1034,1035 jnu du abvp ramjas ye kya roz roz ka lafda muje lagta hai delhi ko war zone ghosit kar dena chahiye
1035,1036 @umarkhalidjnu bhai jaan aapke dimag me chemical locha ho gaya hai u are the true representative of jnu pass me agra hai ilaaz karayen
1036,1037 pehle kuch banke dikhavo bacchon kashmir issue tho tumhare bina bhi solve ho jayega du jnu antinationals azadibrigade
1037,1038 jis antinationalist ka koi nahi hota uska @ndtv hota hai jnu ka sahara @ndtv
1038,1039 ye jabran ki hoshiyari jhadne wale politician students is desh ko ek din le dubenge janhitmejari ramjasclash du jnu
1039,1040 @govtofindia ko jald hi jnu kesi university ke khilaf action lena chahiye nahi chahiye university jaha desh virodhi nare lagte h
1040,1041 koi student banke entry karta hai comrade banke bahar nikalta hai azaadidebate abvp jnu aisa
1041,1042 wo sab to thik hai image of jnu n trp of @ndtv r same like shit when ru finishing ur degree kab tak muft ki rotiyan todega
1042,1043 chargesheet kya yeh raha combined judgement hairani ki baat hai judge sahiba bhi jnu se thi
1043,1044 in saalon ka koi din imaandaar nahin they are political career seekers abvp jnu
1044,1045 real wake up call is at jnu desh ko barbaad kr denge saale jab desh hi nahi rahega to gandhi kya krenge
1045,1046 violence abhi shuru kaha hua he jab vo log vapas bharat murdabad ke naare lagate jnu jese tab violence hota
1046,1047 koi jnu mai admission kara do bhai pura mature ho jayenge upelections congress bjp @rajatsharmalive @tajinderbagga
1047,1048 hai himmat toh aao bhai jnu walon lucknow aao protest nikalo arvindkejriwal ka bhi rona shuru hoga
1048,1049 aaj bhi hamare desh me award chehro ko dekh kar diye jate hai lagta hai jaise aaj bhi desh nehru pariwar ka karz chuka rha hai jnu
1049,1050 bhai jnu mein bhi aise hi naare lagate hain inke bandhu log aur hamari intellectual jamaat unko support karti hai
1050,1051 jnu ramjas should be declared as new political school kyuki yaha pe koi padhai kr hi nahi raha pagalo ki tarah bhoke ja rahe hai
1051,1052 sabhi college university me padhai hoti h pr jnu me deshdrohi kand hote h freedom of speech ke nam pe
1052,1053 why jnu students are so pampered india k khilaf bol rahe hai to bhi koi nahi baja raha bc politicians kya sirf photo khichane ke liye hai
1053,1054 sad to say that our @rajnathsingh sirf kadi ninda karte hai aur @rashtrapatibhvn dadri jnu du ke baare mein bolte hai lekin yaha chuppi
1054,1055 ye desh hai veer jawano ka har mitega iss pollution mai kyu ki yaha sab vote ke liye hota hai kash iss pollution se bhe kuch vote milte hote too ye chor kosis krte delhipollution delhi delhicm kuchtookarokejri
1055,1056 delhipollution pe govt ki intention hi galat hai warna metro fare hike ka kya matlab jo metro use krte hain unko car se jana best hai
1056,1057 aap ko tweet ke alawa kuch kaam nahi hai kya
1057,1058 kya wajah hai ki delhismog jaane ka naam hi nahi le rahi ye @drharshvardhan @arvindkejriwal ki failure aur delhi ka durbhagya hai ke aise kumbhakaran humme mille
1058,1059 delhi jo gas chembar bana hua hai uske bare me bhi kabhi kuch keh diya karo hame saantvana mil jayegi karna to aapne kuch hai nahi delhismog aap
1059,1060 kejri bawal to kuch nahi kar sakey per bhagwan ne jarur barish kara di relief from delhismog delhipollution be prepared for kadakey ki thand
1060,1061 kuch din delhi me ghum leejie suicide ki zarurat hi nahi padegi hashtag just an advise delhismog
1061,1062 question ye hai sir ki aap ne kiya kya hai delhipollution ko rokne ke liye bass twitter twitter khel ker cm sahab ramleela maidaan mei saal ka jashan manane lage
1062,1063 delhimetro ke pricehike ke baad jab delhi ke log apni car ya bike ka istemaal jyada karenge to delhipollution bhi jyada hoga iska jawab hai kisi ke pass
1063,1064 sarkar phone call kar lijiye aaj kal call rates bohot kam ho gye hai some plans have free calls as well delhipollution yokejrisoslow delhiairpollution
1064,1065 swag swag karte karte smog smog aa gaya delhismog
1065,1066 waah re dramebaaji waah insaan ke zindagi ke saath khelo bass vote toh bewakoof bana kar mil hi jayega smogindelhi @ashokshrivasta pic twitter com byssa xlhr
1066,1067 twitter pe hi solve karlo sab bhai outdoor waise bhi safe nhi aur ab to idhar  charcters bhi hain smogindelhi pic twitter com yaufctrxqp
1067,1068 smogindelhi @arvindkejriwal sirf twitter pe hi kaam karoge sirf tweet karna aur retweet karne ka hi kaam bacha hai cm kabhi delhi me bhi kuch kaam kar lo
1068,1069 padmavati making shuru thi tab kahan the ye pagal log faltu kamo k liye time h delhipollution k liye kuch karo itna time h toh or jise nahi dekhna vo na dekhe movie koi jabardasti to nai h padmavatifight padmavaticontroversy
1069,1070 kejriwal sarkar ne haryana sarkar se bat ki or haryana sarkar ne punjab sarkar se phir punjab sarkar ne kejriwal sarkar se bat ki or isi tarah bat chalti rahi or baton se delhi ka pollution khatam ho gaya delhismog
1070,1071 ab bi bagwan hi kuch help kar rahe hai hamari govt aur authorities kuch nahi kar payi @arvindkejriwal @pmoindia delhismog
1071,1072 delhipollution pe to wo log bhi gyan pel rahe hain jo subah se shaam tk na jane kitne cigarettes fook jaate h
1072,1073 patakhe bann hone ke baad bhi itne patakhe phode gye hai agar bann na hote to ye to puri @delhi jala dete bc
1073,1074 yahan presstitute delhipollution par charhca kar rahe hain wahin pm modi kedarnath chale gaye
1074,1075 delhipollution jinhe delhi me pollution dikh rha hai wo delhi se bahar ja ke rahe bar diwali to har bar manegi aur patakhe bhi khub jalenge
1075,1076 patriotism mein to jeet gaye hum log ab ye pollution se kaise jeetenge
1076,1077 omg my lord ye kya ho gya apki to puri pant hi utar di delhi walo ne ab shayad tumhe apni aukat pta chal gyi hogi my lord delhipollution
1077,1078 delhipollution delhi wale bhi bihar wale ke tarah hi nikle ban ka koi asar hi mehsoos nhi hone diya dhuaa dhuaa kar diya
1078,1079 srilankan team uss bache ki tarah hai jiske paas bat hota hai aur bas batting leke bhaag jaata hai ab khatam ho gaya pollution indvsl delhismog
1079,1080 sir yeh tradition aur harmony dilli ncr mein nahi dikhta smog ke kaaran kuch kijiye aap environment minister hai
1080,1081 koi dilli main bhi boond do boond baarish bhej do we want to breathe frustration delhipollution delhigaschamber
1081,1082 delhipollution ab toh bhai guests bhi mask pehn rahe hai kuch kar lo nhi toh kya pta kal ko mask bhi sports equipment jaise bikegi delhi mein
1082,1083 jbki haryana ne tested technology ki offer bhi kri hai isko lekin delihi ki kismat footi hai to kya kre ye chahta nhi ki haryana ki help se smogindelhi ka ilaaj ho
1083,1084 jbki haryana ne itna shandar solution diya hai smogindelhi se mukti paane kaa per kejriwal brain bechaare ko kuchh smjh hi nhi aa rha kya kiya jaaye
1084,1085 har insaan ke fefde alag hote hain isi liye mathews ko itni pareshani nahi ho rahi this is what nehraji just said on commentary indvaus delhipollution
1085,1086 delhi walo ko bright sunlight nai mil rahi bright future kahan se milega
1086,1087 thank god koi mil gaya was made in abhi bani hoti to jadu dhup dhup krta rehta aur milta sirf pollution
1087,1088 smog to ek bahana hai reality main hum muh dikhane k kabil nai rahe delhismog indvsl @sagarcasmpic twitter com ev gx c
1088,1089 party dene ke naam per toh kuch log dehli ho jate hai dikhai hi nahi dete smogindelhi smog
1089,1090 har cheez ke liye sarkar doshi nahi hoti hai kuch cheezon ke liye bus aur car bhi doshi hoti hai delhipollution
1090,1091 ab kejriwal ji bas yeh naa kehne lag jaaye ki air purifier banane wali companies to fayda pahuchane ke liye modiji ne delhi me pollution karwaya hai
1091,1092 aalam ye h ki wo log pollution pe chinta jahir kr rhe hai jo phle saal bhar to ac wale rooms mai baithe rhte hai aur ab air purifier lgwa k ghr k andr se bhasanbazi kr rhe hai smogindelhi dirtypolitics
1092,1093 delhi me hookah kya ban kiya poora delhi hi hookah ban gaya smogindelhi dheentdelhi
1093,1094 aur meri saans toh wahin atakk si gayi jab maine delhi ke launde ko smog mein bhi hookah ring banate dekha delhismog
1094,1095 @arvindkejriwal pranaam sir kuch inner party issues hai kya sir aap log aapas mein kuch tweet kijiye na sir delhismog pe
1095,1096 baki desh me fog chal raha hai delhi me smog chal raha hai delhismog delhipollution
1096,1097 pahele ladkiya delhi ke fog ke saath photo lete the ab delhi ke smog ke saath lete hai aur fir smog unki leta hai
1097,1098 smog smogindelhi bhaiyya delhi mein election ka ailaan kar do phir dekho kaise sab log action lete hain smog ko dur karne ke liye
1098,1099 agar aap desh mein laws implement sahi dhang se nahi kar sakte to aap hume desh ke bahri dushmano se kaise bachaiyenge @narendramodi @pmoindia @supremecourtfan @bjp india ko ab apni gau mata ki chinta nahi hoti jisko bhi to saans lene mein dikat hogi smogindelhi
1099,1100 @arvindkejriwal aap slogan should be tum mujhe vote do main tumhe smog dunga delhichokes smogcapital
1100,1101 delhi sarkar sirf twitter pe active rahne ke liye hai kya khud kya kiya wo mat dekho dusro ne nhi kiya bus yahi rote raho delhipollution
1101,1102 soldiers aren t getting enough air on siachen desh ke liye ek do din saans bhi nahi rok sakte delhismog
1102,1103 best thing about smogindelhi is that arvindkejriwal can now easily say ab delhi mein kya ho raha hai woh mujhe dikhai nahi de raha
1103,1104 agar air pollution ki wajah se kisi cow ki death ho jaaye toh centre se agle din hi iski management ke liye grant mil jaayegi airpollution delhismog delhiairpollution
1104,1105 samay aa gaya hai sab secular mil ker hindu ki chita jalne per rokh laga de smogindelhi
1105,1106 kids smoke cigarettes legends live in delhi kamar kaslo aur sab thik karo warna mar jao delhismog
1106,1107 delhismog ab bhakt kisi ko delhi me mask pehene dekhenge to usko bhi desh drohi ghoshit kar denge aakhir humare desh ki hawa hai
1107,1108 sri lankan players ka smog se swagat kiya hai delhi walo ne indvsl kingkohli delhismog
1108,1109 kuch to kijiye ye hai hamara develop country ye hai hamari capital ka haal delhismog
1109,1110 is shaher ko ye hua kya hai kahi rakh hai to kahi dhua dhua play interrupted due to bad weather delhismog indvsl delhi
1110,1111 ab kon pataakhe fod raha hai delhi mai jo pollution level badh gaya hai delhipollution indvssl kingkohli crackersban
1111,1112 wahmeraindia yahan delhipollution se logo ka jeena muskil hai kisi ne kuch nahi kiya par padmavati release ke against log road par nikal aayein hain
1112,1113 i think it was mirza ghalib who had said dilli mein rahe toh khayenge kya today we have to say dilli mein rahe toh saans kaise le delhismog delhipollution
1113,1114 @arvindkejriwal ko air purifiers ke beech baithe twitter pe aapkihawabaazi se fursat mile tab hi lagta delhiairpollution ka kuch hoga nahi to tak is nautankibaaz ko jhelna hoga delhismog
1114,1115 delhipollution delhiairpollution delhiairquality arvind kejriwal ki nayi nautanki start ho gayi shame on you arvind pls jaag jao ab toh kyu life ke sath khilwaad ker rahe ho
1115,1116 yeh imandar sarkar ko badnam kiya jaa rahe hai yeh papers info reports jo @timesnow kay pass hai woh @narendramodi aur @bjp india ne fake kiye hai sant aur yug purush @arvindkejriwal ko badnam karne ki sajish hai yeh sab
1116,1117 abbe @capt amarinder tu chu hai kya milke discuss karne mein kya jaa raha hai delhismog
1117,1118 @narendramodi @pmoindia sir kaisa desh ho gaya hai crore log pollution mein mar rahe hain magar kuch hota nahi roads banwa do sir dhool kam hogi crop burning band karwa do bas ikshashakti ki kami
1118,1119 rahul mocks modi via smog seene me jalan ankhon me tufan sa kyon hai rahulgandhi delhismog
1119,1120 delhi took this tagline on another level iss shehar ko hua kya h kahi aag h kahi dhua dhua delhi smogindelhi delhismog delhichokes
1120,1121 @arvindkejriwal agar delhi mein paise lekar hi diesel vehicle andar aane dena hai to ban kyon lagaya delhichokes nosolution
1121,1122 @arvindkejriwal delhipollution ka koi bhi govt ya political party kuch nahi soch rahi hai bas kuch aap se ummed baki hai plz kuch kijiye jaldi se
1122,1123 koi sarkaar kuch nhi karegi because bahut sensitive issue h sab bol rahe h yeh kanha se aya or janha se aya vo bhi to voters h more in numbers airpollution delhismog
1123,1124 delhi m itna dhuaan ho gaya h jaise ab undertaker ki entry hogi smogindelhi
1124,1125 delhiairpollution arvind kejriwal may say the air pollution mein bhi modi ji ka haath hain punintended
1125,1126 yes @arvindkejriwal ka drama toh chalta rahega center ko bhi kuch action lena chahiye delhismog pe unki bhi kuch responsibility banti hai savedelhi myrighttobreathe
1126,1127 @sachin rt sab cheezo ke bare mai tweet kartey ho toh delhiairpollution kaise bhol gaye jo national emergency hai play a fair game sirji
1127,1128 baki sab toh theek hai but yeh log jo itne pollution me bhi morning walk karne jaa rahe hai yeh apna dimag kahan bech ke aaye hai smoggedover smogindelhi airpollution delhismog delhipollution delhi
1128,1129 kbhi dilli me v aayen or dekhe hospital me kaise pharmacisto ki andekhi ho rhi h vipaksh loktantra me bahut pwrful h apna farz nibhaiye or desh ki rajdhani ki janta ko bachaaiye delhi pharmacist agitation delhismog delhichokes
1129,1130 smog kya maut hi kyun na aa jaaye dilliwaale show off karne nahi chodenge iwanttobreathe delhismog pic twitter com j juuppbi
1130,1131 dilliwalo jitne bhi ped laga lo jitna odd even kara lo par jab take stubble burning band nahi hogi yahi haal rahega oddeven delhismog
1131,1132 log aapne aap se bhi odd even apna sakte hai pollution se rahat pane ke liye jo ho sakta hai vo karo smogindelhi
1132,1133 @drkumarvishwas sirf election jitwane ka beeda lete ho lekin govt chalane ke wakt par politics se sanyas le lete ho ek taraf @arvindkejriwal odd even lake delhi ke logon ke nak me dam kar rakha ha dusri taraf khaira parali jala raha hai delhipollution
1133,1134 vision in delhi is just like my future plans kuch saaf nazar nahi aata delhismog @dttdc @arvindkejriwal @swachhbharat pollutionindelhi pollution smogindelhi
1134,1135 bhai kuch maat kar saab gst aur demonetisation pe daal de aur aise bhi @narendramodi hai na start a dharna to make him leavedelhi and let you work bolna centre jaan bhuj ke delhismog jaama kar raha hai yesaabbokehuahai
1135,1136 delhismog kon kahata hai ki delhi me pollution hai arvindkejriwal ki khansi theek ho gayi hai that means there is no pollution delhipollution delhiairpollution
1136,1137 beijing me pollution door karne k liye machines bnayi ja rahi hai aur delhi me bahane bnaye ja rahe hai delhismog pollutionindelhi pollution
1137,1138 dilli me itna kohra hai ki yamraj bhi yaha aaker confuse ho gaye h yeh dharti h ya wapas parlok pohach gaye delhismog
1138,1139 agar umpire out dene ke liye ungli utaye to aisa lagta hai shaktiman banne ki try kar raha hai delhipollution delhismog
1139,1140 earth ka kuch karo nahi to unearth ho jayega delhismog staysafe smogindelhi
1140,1141 mujhe ye nahi samajh aa raha hai jab sikh dadhi nahi banate to fir wo stubble kaise jalaate hain delhichokes delhismog
1141,1142 log muh pe mask toh aise pehen rahein hai jaise saans naak se nahi muh se lete ho delhismog
1142,1143 patriotism aur deshbhakti ki baat karne walo aaj sharam nahi aa rahi
1143,1144 tumhari gandi politics and selfishness ki wajah se dilliwale marr rahe hai aur puuri duniya me badnaam kar diya capital city ko shame on you delhismog delhi smog oddeven delhipollution
1144,1145 delhi me itna smog hai ki log waha hukka club nahi jaate bas khudh ki balcony me chale jaate hai agar unhe hukka peena ho toh
1145,1146 delhismog delhi gov polution pe wo sabkuch karti hain jisme unko kuch nahi karna parta like odd even
1146,1147 abe o rahul kanval tera name change kar de ek rahulgandhi aur dusra tu koi diffrence nahi he
1147,1148 nahi toh opportunity ko utilize nahi krne waale rahulgandhi ki haalat aaj toh aap dekh he rahe ho na delhi
1148,1149 aaj kal kejriwal or rahulgandhi ke statements ana kya band huye lagta h jese life se entertainment hi khatam ho gaya
1149,1150 iska akhileshinsultmartyrs haal to rahulgandhi se bhi bura hoga baap ke karan politics me aa gaye nahi to kahi jhaadu laga rahe hote
1150,1151 agar main iss accout ke kisi tweet ko joke bana ke likhunga toh mujhe kuch hoga toh nahi afraidtomakepunsonpolitics raga rahulgandhi
1151,1152 where ever rahulgandhi goes bjp wins bhejo kabhi rahul ko haweli pe nahin tamil nadu pe
1152,1153 mai rahulgandhi k fan ko kya hi jabab du sabd nhi hai mere pass bhagwan aap ko bhi sadbuddhi de
1153,1154 jiss tarah se @congressindia ke members @bjp india mein shamil ho rahe hain iss tarah se bjp mein rahulgandhi ko pm bana sakte hain
1154,1155 hum log roje post kertey hai lakin aap us per koi notice nahi late hai congress party imli ki patte per so rahi hai pic twitter com euvlqz rlu narendramodi rahulgandhi pic twitter com adqe ooig
1155,1156 rahulgandhi has started his preparation for and slogan is tufaan ke baad boonda bandi abki baar rahul gandhi p election
1156,1157 jo log khud kuch bi nai hai life me wo log rahulgandhi ke post par abusive comment karte hai
1157,1158 rahulgandhi cong ki govt ne to se aajtak koi ek bhi faisla kisanon ya garibon aam janta ki bhalayi ke liye nahi liya cong is robber
1158,1159 ab chacha jaan @digvijaya ji ne aisi baat krke comedy ke superstar rahulgandhi ka beijjati kr diya
1159,1160 arre vai asli lootera rahulgandhi to europe vaag gaya sara kaladhan swiss bank pe rakh k aayega ye looteramodi trnd kar k kya hoga
1160,1161 hopes year modi kejriwal rahulgandhi samajwandidangal and arunachalpradeshgovt ke roj ke nautanki se desh ko bachaye
1161,1162 amitshah bhi rahulgandhi ke raaste par chal nikale hai jahan jao wahan ki logon se milo unke ghar jaa kar lunch karo full drama
1162,1163 apne rahulgandhi ko bar bar na launch kro koi naya chehra lao jo congress jaise purani party ko bacha sake
1163,1164 kuchh pata hota nahi aa jaate hain logon ko gyaan dene oops rahulgandhi efect
1164,1165 padha tha rahulgandhi ne jab jupiter ki velocity ko accelerate kiya tha barkhaji class me paheli thi
1165,1166 haan bhai ise suit ka pocket bhi phata hoga bahute garib hain rahul baba rahulgandhi
1166,1167 sunilgrover aur kapilsharma ladte reh jaenge aur best comedian kaa award rahulgandhi le jaega
1167,1168 rahulgandhi pakistan ki jeet se zyada tum logon ki haar aur rota hua muh dekhne mae mazaa aaraha hai poor fans
1168,1169 so pappu aka rahulgandhi aka @officeofrg of @incindia goes for another vacations kaam to kuch karta nahin phir kahan aur kyon jaata hai
1169,1170 open challenge to you bail par to soniagandhi rahulgandhi bhi bahar hai lekin kya tum me himmat hai unhe culprit kahne ki bsp @brijeshlive rahulgandhi @rahulgandhi in
1170,1171 asli kanjoos toh wo hote hai jo jio k time mein bhi call karne ko kehte hai
1171,1172  g speed to dekho vodafone buddhafone customer se paise lete hai service nahi dete thanks to jio inki to dukan band kar dega jio dekhte raho pic twitter com bzxdvooco
1172,1173 sab tweet pe tweet kiye ja rahe ho kisi ko ye fikar hai ki jio ka net band hone wala hai kuch din me
1173,1174 they don t worry about aadharcard abhi jio naya scheme nikalega toh sab ke sab khade ho jayege aadhar ke sath
1174,1175 jio ke calls aur dhoni ki bat jaldi connect nahi hote aur jab hote hai le dhana dhan
1175,1176 wish reliance comes with jiodisel and jiopetrol ek baar re fuel kero aur saal bhar muft pao jio
1176,1177 cheeee tumhare gaanv mein jio ka tower nhi hai rishta cancel ladki wale
1177,1178 maine khud apna @vodafonein no @reliancejio mai port krwaya itni bakwaas service aur paise kaat lete hai har cheez ke esliye bhaiya jio
1178,1179 yaha jio ko gali dene wale aadhe se zyada jio sim hi use kar rahe honge
1179,1180 @mukeshjio mr mukesh ab to logo ne paisa dalna v suru kar diya apna jio no me ab to aap network pe dhyan do pls
1180,1181 aaj tak biwi pe to control nai ho paya jio pe kya ghanta hoga
1181,1182 @airtelindia @airtel presence airtel see the netspeed and data balance jab speed hi nahi aati hai to kya data use kare jio hai to speed hai pic twitter com jctnihlwzs
1182,1183 jio ka internet to aise chalta hai jaise kuttiya mar gayi hai
1183,1184 sharam nahi aati iphone use kar rahe ho aur upar se usme jio ka sim laga rakha hai
1184,1185 jo mobile nahi chala sake ab wo bharat desh ke rocket chalayenge
1185,1186 @pmoindia desh ke public ko neta aur telephone company dono oloo banate hai jaise neta koi bhi ho mahngai kam nahi hogi aur sim koi bhi ho g ya g speed g jaisa hi hoga bas naam ke hai yh rahulgandhi airtel vodafone bsnl jio
1186,1187 netvelocity test result jio tum itne garib kyu hote ja rahe ho ye samjh lo garib ko sab chod dete hain
1187,1188 jio ke launch se pehle tak sabhi mobile companies manmaane rate par internet data plan bechte the aur ab wo rates kayi guna kam ho gaye hain iss chori loot par koi kuchch kyon nahi bolta
1188,1189 par baat ye hai ki log jio ka free services use karte hai to jio ka boycott karne ki himmat nahi joota sakte
1189,1190 saalo saal bhar se free internet de raha hu kisi ko apna jio ka number bhi yaad nahi kuchh toh sharam karo
1190,1191 ajkal agar koi ye bolde ke me jio use nahi karta to log use ese dekte hai jese vo dusre planet se ho
1191,1192 jio south kashmir me aise chal raha hae jaise dulhan shadi me lehangay k saath may allah grant us patience deal wid ds speed
1192,1193 sir aap toh jio ka prachar kar rahe hai kya setting hai ambani see
1193,1194 chaahe aap kitni bhi @narendramodi ki burai kar lo chalaoge jio hi dekho screen k neeche
1194,1195 thik hai jio free hai to kya iska mtlb hai kuch bhi forward kro faltu ka
1195,1196 abhi to suruaat hai aage aage dekho hota hai kya kyonki ab to aage damdaar competitor hai jio
1196,1197 current week me to g speed pe aagya jio ka internet office ke kam ke liye bhi use kiya isliye
1197,1198 @cbseworld walo ne ase kon se question diye the jo average tak bhi na pahuch paya blame it to jio
1198,1199 jio walo ko kabhi crush naa banao reply me liye min wait karne me jaan nikal jati hai ki reply kyo nahi ki gyaan
1199,1200 jio ka performance bhut badhiya raha bihar me students ne prove kr diya
1200,1201 jio ko gali dene wale aadhe se zyada jio use kar rahe honge
